NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
6505014910528,SPE2D921F1451,BASE,1,2021-02-11,2,1,2,1
6505014983167,SPE2D922F0242,BASE,1,2021-10-15,10,1,2,1
6505015057721,SPE2D921F4174,BASE,1,2021-09-26,8,1,2,1
6505015057721,SPE2D922F0443,BASE,1,2021-10-25,5,1,2,1
6505015226420,SPE2D920F1641,BASE,1,2020-02-16,2,1,2,1
6505015242691,SPE2DP20F5342,P00001,1,2020-06-09,4,1,2,1
6505015242691,SPE2DP20F5350,P00001,1,2020-06-09,4,1,2,1
6505015242691,SPE2DP20F5351,P00001,1,2020-06-09,4,1,2,1
6505015295284,SPE2D920F3568,BASE,1,2020-07-17,4,1,2,1
6505015295284,SPE2D920F3766,BASE,1,2020-08-05,4,1,2,1
6505015295284,SPE2D920F3986,BASE,1,2020-08-26,4,1,2,1
6505015295284,SPE2D920F4058,BASE,1,2020-09-09,4,1,2,1
6505015295284,SPE2D920F4138,BASE,1,2020-09-15,4,1,2,1
6505015295284,SPE2D921F1749,BASE,1,2021-03-12,9,1,3,1
6505015295284,SPE2D921F1767,BASE,1,2021-03-15,9,1,3,1
6505015295284,SPE2D921F1931,BASE,1,2021-03-31,8,1,3,1
6505015295284,SPE2D921F2018,BASE,1,2021-04-07,8,1,3,1
6505015295284,SPE2D921F2065,BASE,1,2021-04-12,8,1,3,1
6505015295284,SPE2D921F2066,BASE,1,2021-04-12,8,1,3,1
6505015295284,SPE2D921F2092,BASE,1,2021-04-14,7,1,3,1
6505015295284,SPE2D921F2101,BASE,1,2021-04-14,7,1,3,1
6505015295284,SPE2D921F2102,BASE,1,2021-04-14,8,1,3,1
6505015295284,SPE2D921F2186,BASE,1,2021-04-21,7,1,2,1
6505015295284,SPE2D921F2256,BASE,1,2021-04-25,7,1,2,1
6505015375692,SPE2D920F1605,BASE,1,2020-02-13,2,1,2,1
6505015732805,SPE2DP20V0279,BASE,2,2020-02-05,11,2,1,1
6505015990546,SPE2D920F1587,BASE,1,2020-02-13,2,1,2,1
6505016189132,SPE2D921F1458,BASE,1,2021-02-12,2,1,2,1
6505016322192,SPE2D920F1588,BASE,1,2020-02-13,2,1,2,1
6509014933405,SPE2DP20P0560,BASE,1,2020-05-26,7,2,1,1
6510015198421,SPE2DS20P0676,BASE,1,2019-11-27,2,2,1,1
6515013100670,SPE2DS20V2156,BASE,1,2020-01-15,4,1,2,1
6515013100670,SPE2DS20V2156,BASE,2,2020-01-15,4,1,2,1
6515013100670,SPE2DS20V2156,BASE,3,2020-01-15,4,1,2,1
6515013100670,SPE2DS20V2156,BASE,4,2020-01-15,4,1,2,1
6515014618933,SPE2DS20P2027,BASE,1,2020-03-25,2,2,1,1
6515015306147,SPE2DS20P2499,P00002,2,2020-04-20,7,1,2,1
6515015590741,SPE2DS22V1820,BASE,3,2021-12-27,3,2,1,1
6515016407073,SPE2DS20P4012,BASE,1,2020-08-10,3,1,2,1
6532011537182,SPE2DS20P1010,BASE,1,2020-01-08,3,2,1,1
6550014987882,SPE2DS20P0725,BASE,1,2019-12-03,2,2,1,1
6550015197696,SPE2DS22P1997,BASE,1,2022-06-29,4,2,1,1
6640016283470,SPE2DH20P1145,BASE,1,2020-02-28,2,2,1,1
6640016668902,SPE2DH20F0773,BASE,1,2020-01-20,5,2,1,1
6830013706207,SPE4A622FC3LT,BASE,1,2022-05-14,2,1,2,1
6830013706207,SPE4A622FC4DP,BASE,1,2022-05-16,2,1,2,1
6830013706207,SPE4A622FC4DQ,BASE,1,2022-05-16,2,1,2,1
6830013706207,SPE4A622FD2JC,BASE,1,2022-08-01,2,1,2,1
