waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
6408eef2ba2febf61c1cc50d,2023-03-08 20:24:18.252000+00:00,2023-03-15 15:59:40.961000+00:00,4510015272274,nsn,title,Sole Source Approved For NSN 4510-01-527-2274,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),4510 - PLUMBING FIXTURES AND ACCESSORIES,Nonavailability,2023
640645f847118268daf7d925,2023-03-06 19:58:48.238000+00:00,2023-03-13 13:26:55.730000+00:00,4240015387970,nsn,summary,"2,365 CS of Hearing Protectors",DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),4240 - SAFETY AND RESCUE EQUIPMENT,Nonavailability,2023
640645f847118268daf7d925,2023-03-06 19:58:48.238000+00:00,2023-03-13 13:26:55.730000+00:00,97040-PEL-6C,part_number,summary,"2,365 CS of Hearing Protectors",DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),4240 - SAFETY AND RESCUE EQUIPMENT,Nonavailability,2023
63d43955dfd759bf126a6e1f,2023-01-27 20:51:33.405000+00:00,2023-02-05 14:19:36.791000+00:00,8150014813741,nsn,piid,SPE8ED23Q0001,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),8150 - FREIGHT CONTAINERS,Nonavailability,2023
63c93599e14c96fc2a10d75d,2023-01-19 12:20:41.014000+00:00,2023-01-21 16:15:25.082000+00:00,8150014886545,nsn,piid,spe8ed23q0191,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),10 - WEAPONS,Nonavailability,2023
63a36c0ce14c96fc2a07bcaa,2022-12-21 20:26:52.645000+00:00,2023-01-04 21:46:24.005000+00:00,8150015012741,nsn,summary,SPE8ED22Q0809,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
639a2f5b2492c264034d1f4d,2022-12-14 20:17:31.670000+00:00,2022-12-19 15:31:18.141000+00:00,8150014638555,nsn,summary,SPE8ED22Q0835,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
637cc578e14c96fc2afd1399,2022-11-22 12:50:00.209000+00:00,2022-12-09 13:53:07.583000+00:00,1660016004909,nsn,summary,"HEAT EXCHANGER, AIR",DEPT OF THE NAVY,,"1660 - AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT",Nonavailability,2023
6376845f3e44547f15ea725f,2022-11-17 18:58:39.602000+00:00,2022-11-22 18:41:40.105000+00:00,8150014638555,nsn,piid,spe8ed23q0005,DEFENSE LOGISTICS AGENCY (DLA),,81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
636a8b2f329de8d5df3acb78,2022-11-08 17:00:31.225000+00:00,2022-11-16 18:54:06.580000+00:00,8150015338674,nsn,piid,QTY 59 TRICON II ISO SHIPPING CONTAINER,DEFENSE LOGISTICS AGENCY (DLA),,81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
636a80cb329de8d5df3ac939,2022-11-08 16:16:11.810000+00:00,2022-11-16 18:53:23.464000+00:00,8150014638553,nsn,summary,SPE8ED23Q0002,DEFENSE LOGISTICS AGENCY (DLA),,81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
634d63dc6ea30969c3427ca0,2022-10-17 14:17:00.219000+00:00,2022-10-20 19:34:22.619000+00:00,8150014813741,nsn,title,NSN: 8150-01-481-3741,DEFENSE LOGISTICS AGENCY (DLA),,8150 - FREIGHT CONTAINERS,Nonavailability,2023
634d6235a0077aaef9e22ee1,2022-10-17 14:09:57.312000+00:00,2022-10-20 19:33:54.736000+00:00,8150014633177,nsn,title,NSN: 8150-01-463-3177 - 20' ISO Container,DEFENSE LOGISTICS AGENCY (DLA),,8150 - FREIGHT CONTAINERS,Nonavailability,2023
634d5feaa0077aaef9e22e34,2022-10-17 14:00:10.318000+00:00,2022-10-20 19:33:32.786000+00:00,8150014839123,nsn,title,NSN 8150-01-483-9123 - Tricon Container,DEFENSE LOGISTICS AGENCY (DLA),,8150 - FREIGHT CONTAINERS,Nonavailability,2023
634d5dbaa0077aaef9e22d77,2022-10-17 13:50:50.474000+00:00,2022-10-20 19:33:10.897000+00:00,8150014839121,nsn,title,NSN 8150-01-483-9121 - Quadcon Container,DEFENSE LOGISTICS AGENCY (DLA),,8150 - FREIGHT CONTAINERS,Nonavailability,2023
